Date,Value
11/1/1999,12.87T
10/1/1999,12.78T
9/1/1999,12.72T
8/1/1999,12.68T
7/1/1999,12.64T
6/1/1999,12.53T
5/1/1999,12.53T
4/1/1999,12.49T
3/1/1999,12.49T
2/1/1999,12.42T
1/1/1999,12.33T
12/1/1998,12.29T
11/1/1998,12.32T
10/1/1998,12.27T
9/1/1998,12.23T
8/1/1998,12.07T
7/1/1998,12.00T
6/1/1998,12.03T
5/1/1998,11.92T
4/1/1998,11.90T
3/1/1998,11.92T
2/1/1998,11.89T
1/1/1998,11.71T
12/1/1997,11.78T
11/1/1997,11.68T
10/1/1997,11.71T
9/1/1997,11.63T
8/1/1997,11.63T
7/1/1997,11.60T
6/1/1997,11.51T
5/1/1997,11.41T
4/1/1997,11.52T
3/1/1997,11.27T
2/1/1997,11.34T
1/1/1997,11.26T
12/1/1996,11.20T
11/1/1996,11.24T
10/1/1996,11.22T
9/1/1996,11.14T
8/1/1996,11.10T
7/1/1996,11.07T
6/1/1996,11.03T
5/1/1996,10.98T
4/1/1996,11.01T
3/1/1996,10.87T
2/1/1996,10.81T
1/1/1996,10.79T
12/1/1995,10.82T
11/1/1995,10.72T
10/1/1995,10.70T
9/1/1995,10.75T
8/1/1995,10.66T
7/1/1995,10.61T
6/1/1995,10.66T
5/1/1995,10.56T
4/1/1995,10.53T
3/1/1995,10.56T
2/1/1995,10.51T
1/1/1995,10.58T
12/1/1994,10.58T
11/1/1994,10.48T
10/1/1994,10.48T
9/1/1994,10.39T
8/1/1994,10.43T
7/1/1994,10.36T
6/1/1994,10.36T
5/1/1994,10.37T
4/1/1994,10.27T
3/1/1994,10.24T
2/1/1994,10.20T
1/1/1994,10.15T
12/1/1993,10.15T
11/1/1993,10.12T
10/1/1993,10.02T
9/1/1993,10.03T
8/1/1993,9.949T
7/1/1993,9.910T
6/1/1993,9.932T
5/1/1993,9.935T
4/1/1993,9.876T
3/1/1993,9.837T
2/1/1993,9.874T
1/1/1993,9.858T
12/1/1992,9.874T
11/1/1992,9.838T
10/1/1992,9.810T
9/1/1992,9.755T
8/1/1992,9.721T
7/1/1992,9.741T
6/1/1992,9.723T
5/1/1992,9.595T
4/1/1992,9.612T
3/1/1992,9.606T
2/1/1992,9.528T
1/1/1992,9.486T
12/1/1991,9.427581
11/1/1991,9.427581
10/1/1991,9.427581
9/1/1991,9.394834
8/1/1991,9.394834
7/1/1991,9.394834
6/1/1991,9.347597
5/1/1991,9.347597
4/1/1991,9.347597
3/1/1991,9.275276
2/1/1991,9.275276
1/1/1991,9.275276
12/1/1990,9.318876
11/1/1990,9.318876
10/1/1990,9.318876
9/1/1990,9.404494
8/1/1990,9.404494
7/1/1990,9.404494
6/1/1990,9.398243
5/1/1990,9.398243
4/1/1990,9.398243
3/1/1990,9.364259
2/1/1990,9.364259
1/1/1990,9.364259
