DATE,A229RX0
1994-04-01,28171.0
1994-05-01,28468.0
1994-06-01,28392.0
1994-07-01,28385.0
1994-08-01,28387.0
1994-09-01,28480.0
1994-10-01,28721.0
1994-11-01,28693.0
1994-12-01,28797.0
1995-01-01,28865.0
1995-02-01,28898.0
1995-03-01,28952.0
1995-04-01,28711.0
1995-05-01,28974.0
1995-06-01,29030.0
1995-07-01,29064.0
1995-08-01,29051.0
1995-09-01,29113.0
1995-10-01,29115.0
1995-11-01,29169.0
1995-12-01,29185.0
1996-01-01,29202.0
1996-02-01,29404.0
1996-03-01,29472.0
1996-04-01,29267.0
1996-05-01,29609.0
1996-06-01,29757.0
1996-07-01,29647.0
1996-08-01,29689.0
1996-09-01,29725.0
1996-10-01,29691.0
1996-11-01,29742.0
1996-12-01,29817.0
1997-01-01,29877.0
1997-02-01,29935.0
1997-03-01,30050.0
1997-04-01,30043.0
1997-05-01,30146.0
1997-06-01,30211.0
1997-07-01,30291.0
1997-08-01,30412.0
1997-09-01,30458.0
1997-10-01,30577.0
1997-11-01,30745.0
1997-12-01,30894.0
1998-01-01,31139.0
1998-02-01,31312.0
1998-03-01,31465.0
1998-04-01,31534.0
1998-05-01,31632.0
1998-06-01,31780.0
1998-07-01,31803.0
1998-08-01,31871.0
1998-09-01,31931.0
1998-10-01,31945.0
1998-11-01,32047.0
1998-12-01,32080.0
1999-01-01,32230.0
1999-02-01,32319.0
1999-03-01,32325.0
1999-04-01,32195.0
1999-05-01,32225.0
1999-06-01,32306.0
1999-07-01,32338.0
1999-08-01,32444.0
1999-09-01,32373.0
1999-10-01,32522.0
1999-11-01,32706.0
1999-12-01,32931.0
2000-01-01,33119.0
2000-02-01,33222.0
2000-03-01,33284.0
2000-04-01,33426.0
2000-05-01,33537.0
2000-06-01,33599.0
2000-07-01,33746.0
2000-08-01,33920.0
2000-09-01,33924.0
2000-10-01,33985.0
2000-11-01,33965.0
2000-12-01,34001.0
2001-01-01,34151.0
2001-02-01,34166.0
2001-03-01,34228.0
2001-04-01,34100.0
2001-05-01,33988.0
2001-06-01,33954.0
2001-07-01,34420.0
2001-08-01,34953.0
2001-09-01,34622.0
2001-10-01,33984.0
2001-11-01,33995.0
2001-12-01,34028.0
2002-01-01,34707.0
2002-02-01,34735.0
2002-03-01,34734.0
2002-04-01,34827.0
2002-05-01,34941.0
2002-06-01,35018.0
2002-07-01,34902.0
2002-08-01,34882.0
2002-09-01,34892.0
2002-10-01,34964.0
2002-11-01,35031.0
2002-12-01,35090.0
2003-01-01,35015.0
2003-02-01,34867.0
2003-03-01,34925.0
2003-04-01,35105.0
2003-05-01,35353.0
2003-06-01,35428.0
2003-07-01,35826.0
2003-08-01,36043.0
2003-09-01,35605.0
2003-10-01,35711.0
2003-11-01,35899.0
2003-12-01,35903.0
2004-01-01,35860.0
2004-02-01,35901.0
2004-03-01,36020.0
2004-04-01,36117.0
2004-05-01,36273.0
