Date,avg_ret,regime
1/7/2018,1.760210474,1
12/31/2017,2.47469363,1
12/24/2017,-0.476828095,1
12/17/2017,0.476270469,1
12/10/2017,0.923376243,1
12/3/2017,-0.126239973,1
11/26/2017,0.885126228,1
11/19/2017,1.311180763,1
11/12/2017,0.397808558,1
11/5/2017,-0.524460545,1
10/29/2017,0.132189577,1
10/22/2017,0.358880001,1
10/15/2017,0.593042781,1
10/8/2017,-0.001047974,1
10/1/2017,1.285470835,1
9/24/2017,1.352344378,1
9/17/2017,0.329025983,1
9/10/2017,1.713249383,1
9/3/2017,-0.870312855,1
8/27/2017,2.052528911,1
8/20/2017,0.965527447,1
8/13/2017,-0.802748374,1
8/6/2017,-1.813065416,1
7/30/2017,-0.341308748,1
7/23/2017,-0.170678348,1
7/16/2017,0.694822201,1
7/9/2017,1.577016533,1
7/2/2017,0.066375152,1
6/25/2017,-0.757430843,1
6/18/2017,0.738412731,1
6/11/2017,-0.503081192,1
6/4/2017,-0.221886706,1
5/28/2017,1.28074008,1
5/21/2017,1.497970255,1
5/14/2017,-0.621511463,1
5/7/2017,-0.378363033,1
4/30/2017,0.413846714,1
4/23/2017,1.695773851,1
4/16/2017,1.57465342,1
4/9/2017,-1.22331108,1
4/2/2017,-0.694643811,1
3/26/2017,1.387022475,1
3/19/2017,-1.716769831,1
3/12/2017,0.82943978,1
3/5/2017,-0.844136401,1
2/26/2017,0.400014143,1
2/19/2017,0.226383873,1
2/12/2017,1.363899711,1
2/5/2017,0.903102652,1
1/29/2017,0.232183487,1
1/22/2017,1.360092332,1
1/15/2017,-0.557357467,1
1/8/2017,0.293472994,1
1/1/2017,1.66954424,1
12/25/2016,-1.161073386,1
12/18/2016,0.390059222,1
12/11/2016,-0.5618563,1
12/4/2016,3.890335626,2
11/27/2016,-1.775808222,1
11/20/2016,1.720518862,1
11/13/2016,1.55606902,1
11/6/2016,5.538046102,2
10/30/2016,-2.213524308,1
10/23/2016,-1.34804458,1
10/16/2016,0.527273964,1
10/9/2016,-1.353009198,1
10/2/2016,-0.759625368,1
9/25/2016,0.03444741,1
9/18/2016,1.554094645,1
9/11/2016,0.919087239,1
9/4/2016,-2.422523521,1
8/28/2016,0.716855077,1
8/21/2016,-0.377637348,1
8/14/2016,0.171540902,1
8/7/2016,0.066207347,1
7/31/2016,0.722039975,1
7/24/2016,0.568744213,1
7/17/2016,0.70069425,1
7/10/2016,1.728234298,1
7/3/2016,1.596136079,1
