Date,MPRIME,MPRIMEpct,MPRIMEstd,SP500VIX,VIXlog,VIXlog_return,VIXpct,VIXstd,RealGDPpct,RealGDPstd,UNRATEpct,UNRATEstd,incomepct,incomelog_std,CPIindx,CPIpct,CPIstd,b30ret,b30ind,b30std,b10ret,b10ind,b10std,b5ret,b5ind,b5std,b1ret,b1ind,b1std,risk free,SP500,SP500_ret,SP500_std,SP500log_std,yield_diff,income,incomestd,RealGDP,SP500VIX_ret
2021-12-01,3.25,0.0,0.0,21.35,3.0610517396746335,-0.14328100759035456,0.15405405405405403,1.8542653531789894,0.0005055611729019027,0.06082762530298236,3.9,0.3511884584284518,0.0025944824007611,3.36069864,656.0,0.307251716,0.178217705,-0.023094,3581.857,59.70093145281176,-0.00475,2809.439,17.512428186862106,-0.004267,2320.099,5.084939822652822,-0.001374,1349.204,1.2920011609901543,0.050695582,4766.18,0.04361287497262989,105.67429267959808,2.408573068,1.459,46252.0,98.81970113969022,19.79,0.15405405405405403
2021-11-01,3.25,0.0,0.0,18.5,2.917770732084279,-0.14328100759035456,0.03525461667599328,1.8542653531789894,-0.005530417295123158,0.06082762530298236,4.2,0.264575131106495,0.0025944824007611,3.356905031,654.0,0.49134275,0.166395015,0.032451,3666.532,59.70093145281176,0.012455,2822.848,17.512428186862106,0.002938,2330.041,5.084939822652822,-0.000465,1351.06,1.2920011609901543,0.045627598,4567.0,-0.00833373141847149,105.67429267959808,2.465207394,1.403,46372.0,78.51326851773301,19.78,0.03525461667599328
2021-10-01,3.25,0.0,0.0,17.87,2.8831233291713367,-0.034647402912942216,-0.09838546922300706,1.8542653531789894,0.015832482124616964,0.06082762530298236,4.6,0.32145502536646203,0.0016389200379538504,3.364963928,650.8,0.830811855,0.169290034,0.026981,3551.289,59.70093145281176,-0.004896,2788.122,17.512428186862106,-0.00802,2323.216,5.084939822652822,-0.000689,1351.689,1.2920011609901543,0.081113825,4605.38,0.06914387330123462,105.67429267959808,2.454358382,1.503,46448.0,474.2935096892396,19.89,-0.09838546922300706
2021-09-01,3.25,0.0,0.0,19.82,2.986691528901842,0.10356819973050513,0.13451631368059536,0.9951381813597564,0.0030737704918031294,0.1571623364550184,4.7,0.3605551275464263,0.0017438856355493915,3.365646546,645.4,0.271597086,0.190399997,-0.023236,3457.989,104.4637272757072,-0.015425,2801.84,17.490067009591513,-0.007415,2341.999,9.50767653004647,0.000279,1352.621,0.7853858924118645,0.065908225,4307.54,-0.047569140421166334,162.0191252085173,2.497674742,1.454,46529.0,467.7830693815274,19.58,0.13451631368059536
2021-08-01,3.25,0.0,0.0,17.47,2.8604851241459652,-0.12620640475587663,-0.007386363636363802,1.2573119475028214,0.009307135470527417,0.19857828011475423,5.2,0.36055512754642693,0.016720754798082993,3.367782384,643.7,0.206591136,0.223126466,-0.004704,3540.25,50.9797699125185,-0.004837,2845.735,30.094884166582403,-0.002647,2359.494,18.142810320711934,-0.000238,1352.244,0.46882441631454075,0.050695582,4522.68,0.028990321391681118,153.74934970052135,2.546064204,1.261,47307.0,205.78872661057727,19.52,-0.007386363636363802
2021-07-01,3.25,0.0,0.0,17.6,2.8678989020441064,0.007413777898141127,0.037735849056603765,1.3208456886908997,-0.003606388459556964,0.1248999599679704,5.4,0.2645751311064972,0.0012894497643054503,3.370149709,642.4,0.481052353,0.236180103,0.044448,3556.982,52.98812130091039,0.023829,2859.567,30.13995625411578,0.010194,2365.756,12.313155011341475,0.000434,1352.566,0.2036492081971076,0.055767755,4395.26,0.02274810936591054,108.17876747926576,2.542675662,1.18,47368.0,191.8306544846337,19.34,0.037735849056603765
2021-06-01,3.25,0.0,0.0,16.96,2.830857630363757,-0.03704127168034921,-0.1417004048582996,0.338279962949827,0.0025826446280992066,0.0907377172587792,5.9,0.10000000000010069,-0.008085627427799391,3.371333709,639.3,0.92906629,0.24691199,0.045272,3405.61,82.98732012381952,0.014084,2793.012,35.120286108363906,-0.001558,2341.883,12.377937994673774,-0.000281,1351.979,0.2939608817502098,0.045625924,4297.5,0.02221397632316946,112.91509081311082,2.501149598,1.422,46985.0,901.376909696124,19.41,-0.1417004048582996
2021-05-01,3.25,0.0,0.0,19.76,2.983659692319722,0.15280206195596469,0.13432835820895517,1.4671514350377524,0.000516795865632913,0.03605551275465089,5.8,0.11547005383801226,0.004490794934553621,3.372032886,633.4,0.801710515,0.219528149,0.002703,3258.108,149.44117586528762,0.003441,2754.222,53.27882811211202,0.003167,2345.538,12.85850352879309,0.000263,1352.359,0.29771854717612845,0.038022643,4204.11,0.005486502581813157,95.5833250799161,2.480092627,1.568,47196.0,5634.399731411798,19.36,0.13432835820895517
2021-04-01,3.25,0.0,0.0,17.42,2.857618971424357,-0.1260407208953649,-0.20238095238095233,1.5015103507246752,0.004672897196261738,0.032145502536654776,6.0,0.11547005383801226,0.03061700144080004,3.368300271,628.4,0.821890915,0.199386133,0.027124,3249.326,87.8053265126878,0.011851,2744.777,25.56197485198063,0.005763,2338.133,3.702601562862879,0.000144,1352.003,0.21280350874171652,0.040556242,4181.17,0.05242531255584737,61.61791487329555,2.450351993,1.613,48641.0,5761.8241324543515,19.35,-0.20238095238095233
2021-03-01,3.25,0.0,0.0,21.84,3.083743150876704,0.2261241794523472,-0.0561797752808989,2.2112741425099975,0.024468085106382986,0.05507570547287066,6.0,0.20000000000005058,0.18412450401924296,3.368407263,623.2,0.708327313,0.174047332,-0.054127,3163.518,52.26121010207185,-0.029342,2712.63,21.804174286894554,-0.008277,2324.735,10.544392174673208,0.0004,1351.809,0.2789480238315199,0.055767798,3972.89,0.04243863400810777,127.39014247577836,2.440582025,1.721,57597.0,5412.345271075502,19.26,-0.0561797752808989
2021-02-01,3.25,0.0,0.0,23.14,3.1415627217655304,0.05781957088882628,-0.07105580088317942,2.998466274614405,-0.016221873364730466,0.29501412395567844,6.2,0.2516611478423982,-0.1867805614875775,3.021016493,618.9,0.547438279,0.160508515,-0.072436,3344.549,90.55629515573708,-0.025385,2794.63,41.317371685526645,-0.012922,2344.138,9.933468997953764,-0.000185,1351.268,0.38090725030267925,0.055765263,3811.15,0.026091474971999817,185.49716368002032,2.46148413,1.366,46839.0,2651.1471730806134,18.8,-0.07105580088317942
